potatoes,картофель
falafel,фалафель
salami,салями
saveloy,сервелат
sausage cooked,вареная колбаса
roastbeef,ростбиф
foie gras,фуа-гра
lamb,ягненок
quail,перепелка
corned beef,тушенка
scallops,гребешки
octopus,осьминог
clams,моллюски
foie gras,фуа-гра
liverwurst,ливерная колбаса
bologna,болонская колбаса
brisket,грудинка
tofu,тофу
churros,чуррос
sushi roll,суши роллы
wasabi,васаби
teriyaki sauce,соус терияки
dorado,дорадо
carp,карп
dumplings,пельмени
